CPID,Name,Description
CP168,Ready Mixed Concrete (LWC 3000-4000psi),"Like normal weight concrete, structural lightweight concrete is highly customizable in composition.  In general, lightweight concretes rely on lighter aggregates (both course and fine) and can use air entraining admixtures to add substantially more air to the concrete than is typically seen in NWC of the same strength. Depending on the specifications, a portion of the fine lightweight aggregate can be replaced with sand, but this improvement in strength comes at an increase in weight.  This Common Product profile describes the composition of a lightweight 3,000 – 4,000 psi concrete for construction in the San Francisco Bay area."
CP169,"Ready Mix Concrete (BF Slag) (3,000 - 4,000 psi)","Concrete is a common construction material, used in many structural applications, and is highly customizable in composition. Concrete is made by mixing cement, water, sand, and gravel, and can include chemical admixes, alone or in combination, to provide improved strength, durability, or other desired characteristic. This Common Product profile describes an in-situ/ready mix concrete composition likely to be used to produce normal weight 3,000 – 4,000 psi concrete for construction in the San Francisco Bay area, where a Portland-blast furnace slag blended cement (described as Type IS in ASTM C595/C595M) is used in place of a “straight mix”. The exact amounts of all ingredients in concrete will likely vary to some degree based on the contractor, concrete supplier, and the materials used by the supplier to mix the concrete ordered.

The LCA excludes the environmental impacts associated with the use of admixtures, due to the high variation in the amount and type used across concrete mixes. To assess the potential influence this exclusion could have on the impact of the concrete, a scenario analysis was conducted with median amounts of four categories of admixtures: retarding, accelarating (chlorinated), accelerating (non-chlorinated), and water reducing/retarding. Results showed that despite the small contribution by mass (<1%), use of admixtures could increase the environmental burden. Eutrophication potential in paticular was affected, increasing the burden of concrete by as much as 17%. Primary energy demand also increased significantly, up to 7%, while global warming potential showed increases up to 4%."
CP170,"Ready Mix Concrete (Fly Ash) (3,000 - 4,000 psi)","Concrete is a common construction material, used in many structural applications, and is highly customizable in composition. Concrete is made by mixing cement, water, sand, and gravel, and can include chemical admixes, alone or in combination, to provide improved strength, durability, or other desired characteristic. This Common Product profile describes an in-situ/ready mix concrete composition likely to be used to produce normal weight 3,000 – 4,000 psi concrete for construction in the San Francisco Bay area, where a Portland-pozzolon blended cement (described as Type IP in ASTM C595/C595M) is used in place of a “straight mix”. The exact amounts of all ingredients in concrete will likely vary to some degree based on the contractor, concrete supplier, and the materials used by the supplier to mix the concrete ordered.

The LCA excludes the environmental impacts associated with the use of admixtures, due to the high variation in the amount and type used across concrete mixes. To assess the potential influence this exclusion could have on the impact of the concrete, a scenario analysis was conducted with median amounts of four categories of admixtures: retarding, accelarating (chlorinated), accelerating (non-chlorinated), and water reducing/retarding. Results showed that despite the small contribution by mass (<1%), use of admixtures could increase the environmental burden. Eutrophication potential in paticular was affected, increasing the burden of concrete by as much as 17%. Primary energy demand also increased significantly, up to 7%, while global warming potential showed increases up to 4%."
CP171,Glulam,"Glulam is an engineered wood product made of two or more layers of lumber that are glued together. Multiple formaldehyde resins (Phenol-resorcinol-formaldehyde (PRF), melamine-urea-formaldehyde (MUF), and resorcinol formaldehyde) and polyurethane resins can be used, however PRF resins are the most common on the market and are applicable to interior and exterior applications due to their moisture resistance. Glulam manufacturing begins with kiln-drying lumber (aka lamstock) to a maximum moisture content of 16%. When glulam beams are specified beyond typical lumber sizes, lumber is end jointed and bound with a resin, typically PFR or MUF. Once at the desired length, resin is applied to the lumber faces via cold set (uses pressure and ambient heat) or radio frequency (uses pressure and heat at 200+ degrees Fahrenheit) curing. Glulam may be used for a variety of structural applications in the residential and commercial markets. In applications where the glulam is exposed to weather or high moisture conditions a preservative treatment, such as a copper napthalene treatment, may be needed, but was not included in the scope of this CP. Species resistant to decay and insects, Alaskan Yellow Cedar and Port Oxford Cedar, may also be specified to avoid the use of preservative treatments for glulam. Factory applied sealants and/or plastic wrapping may be use to protect Glulam during transit and construction. Sealants are not standard and are only used when specified. Translucent penetrating sealers may be desired if beams are to be exposed with a stain or natural finish and Primer coats may be specified if a complete seal is desired. Field applied products are also available for these purposes. The CP characterizes an unsealed Glulam product without preservative treatment."
CP172,Glass Fiber Reinforced Polymer Decking,"Glass fiber reinforced polymer (GFRP) parts can be used for a variety of construction applications.  This CP focuses on decking material, but due to a lack of information for this specific product, some of the information comes from literature for GFRP parts in general.  Different types of resins can be used depending on the application requirements.  This CP considers unsaturated polyester resin.  Vinyl esters are also common; see CP 176 for information on vinyl ester resins.  For certain applications of GFRP requiring fire ratings, halogenated polyesters and/or mineral flame retardants like antimony oxide and alumina trihydrate may be used; however, they were not found to be common for standard decking materials.  GFRP decking is produced using a pultrusion process.  This is a continuous process used to produce composite parts with a constant cross-sectional profile.  The equipment feeds glass rovings and continuous strand mats into a resin bath.  A surfacing veil is also applied and the pultrusion is pulled through forming/curing dies where polymerization takes place.  At the end of the line, the profile is cut to desired length.  Styrene is generally used as a crosslinking monomer as part of the resin bath.  Some pultruders are making efforts to decrease styrene emission during manufacturing by using lower styrene resins or vapor supressed resins.  This emissions in this CP are based on standard styrene content without vapor suppression.  Residual styrene content in the finished product is very dependent on manufacturing conditions and may vary widely."
CP173,Polycarbonate Cladding,"Polycarbonate panels can be used for a variety of construction applications from visual accents to building cladding.  This CP focuses on those used for cladding, in particular multi-wall panels which could optionally be filled with aerogel for improved insulating properties.  The benefits of polycarbonate over glass are that it is lightweight, has a much higher impact strength, and has improved insulative properties.  The panels have a UV protective layer applied to the exterior side to minimize yellowing due to UV degradation.  There is very little disclosure as to the specific additives used in these types of products.  Stabilizers and mold release agents were found to be common so are included here.  Other additives such as fillers, antistatic agents, flame retardants, etc, are sometimes used in polycarbonate products in general but were not disclosed as used in these products.  Colorants and dyes may optionally be used to alter the appearance of the panels.  As delivered, there is a protective film on both sides of the panel but that was excluded from the scope of this CP due to lack of disclosure regarding its composition.  Some manufacturers offer panels with pre-consumer recycled content (20-40%), although this appears to be more common in Europe and Australia than in the United States."
CP174,Structural Steel Cables,"Structural steel cables can be used for a number of architectural and engineering purposes. They hold up glazed walls and roofs, tensile fabric architecture, suspension bridges, and other architectural features. This survey focused on full-locked structural steel cables; this type of structural steel cable is less flexible than open spiral strand steel cables, but allows for higher loads. The base of full-locked structural steel cables is a round inner core comprising of multiple Galfan-coated carbon steel wires. Outside the inner core Galfan-coated z-profile wires are stranded together to form layers of interlocking wires. As the inner core wires are stranded together during the manufacturing process, a zinc-rich blocking compound or a petrochemical lubricant (and sometimes both) may be used to keep the wires from scraping against each other and as an anti-corrosive agent. For this survey, zinc-rich blocking compounds were found to be more commonly used than petrochemical lubricants. For full-locked cables, ""dry-stranding"" (stranding together the Galfan-coated z-profile wires without lubricant or blocking compound) of the exterior layers was found to be most common."
CP175,Cast Iron Pipes,"“Cast iron” is a generic term for product made by pouring molten iron into molds where the metal is cast in the shape of the mold. Ductile iron pipes are one such cast iron product. Standard industry practice is to use 100% waste scrap iron and steel for these castings, and add a small amount of magnesium, which gives the finished pipe its ductile qualities. The liquid alloy is poured into a centrifugal mold and spun at a high speed to form a pipe of the desired dimension. The metal cools quickly, becoming solid, and is removed from the mold and tempered to increase it strength. Because the bare iron casting is vulnerable to rust, standard practice is to coat all surfaces of the pipe while at the factory. The exterior of the pipe receives a pre-finish of zinc, and an asphaltic coating to seal out moisture and other corrosive elements. Pipes intended to carry sewage or wastewater are coated on the inside with a high alumina cement, a specialty cement resistant to the corrosive properties of these effluents. (Pipes carrying potable water would be lined with a standard Portland cement). The asphaltic coating used on the pipe exterior can also be applied to the interior of the pipe walls if water chemistries necessitate an additional protective layer. Depending on soil characteristics (pH, permeability, etc), the pipes can be installed below grade with a protective polyethylene sleeve surrounding the pipe."
CP176,Glass Fiber Reinforced Polymer Water Storage Tank,"Fiberglass Reinforced Polymer (FRP) storage tanks are used to store a variety of liquids and come in many different shapes and sizes depending upon the application. Additionally, FRP fittings such as pipe connections and manways may also be necessary. For this CP, the scope was limited to single-walled, underground storage tanks. Fittings were not included since they are highly customizable and to simplify the geometry for calculations. Applications for FRP water tanks include the storage of potable water, storm water runoff, greywater, rain water, and water for back-up fire supression systems. FRP tanks are constructed of multiple layers of fiberglass and binder, which may be a vinyl ester polyester, as modeled in this CP, or unsaturated polyester resins; see CP 172 for information on unsaturated polyester resins. Fiberglass reinforcements included in this CP are surfacing veils, chopped strand mat, woven roving, and continuous strand roving. FRP tanks are constructed as a multi-layered laminate, made in three main pieces: the cylindrical tank form, commonly made using the filament winding process and two head pieces, constructed via contact molding or hand lay-up process. Both processes start by applying a surfacing veil, the most common being one made of woven c-glass, and saturating it with resin. This layer is typically resin rich in order to create a corrosion resistant layer. For additional corrosion resistance, a layer, commonly referred to as the corrosion layer, is added on top of the surface layer. The corrosion layer is composed of at least two layers of chopped strand mat saturated with resin. The structural layer is applied next. Structural layers vary by thickness depending upon the desired stregth of the FRP composite. In the filament winding process, which is done mechanically, the structural layer is made using continuous strand roving which is saturated just prior to application. Contact molded laminates have a structural layer made of alternating layers of resin saturated chopped strand mat and woven roving. The last 2-3 mils of the structural layer include a small amount of paraffin wax to create a top coat that helps surfaces exposed to the air cure properly. Once the laminate pieces have hardened, the heads are joined to the tank form with additional laminate overlay at the joint. The overlay includes a surfacing layer, corrosion layer, and paraffin top coat. The constructed tank undergoes additional curing and may undergo more stringent curing processes to remove more styrene residual from the tank interior surface."
CP177,Gypsum Spray Fireproofing,"Gypsum spray fireproofing is applied to structural steel beams, columns, joists, and floor and roof decking to insulate it from high heat produced during a fire and to prevent (or delay) the loss of structural integrity.  It is sold in dry mix bags which are then mixed together on site with potable water and sprayed onto un-primed steel. The wet mix density and spray rate must be carefully controlled so that a minimum dry density of 15 pcf (240 kg/m3) is achieved. Gypsum spray fireproofing is applied after all construction work on the application area is completed in order to limit disturbance to the set material. However, ducts, piping, and conduit must be installed after fireproofing has been completed."
CP178,Laminated Glass,"Laminated glass is composed of two sheets of glass with a thin adhesive interlayer between.  The benefits of laminated glass compared to a solid glass pane are penetration resistance (it is more difficult to break through), safety (broken shards of glass are held together by the interlayer), sound reduction, and UV protection.  Polyvinyl butyral (PVB) has been the dominant interlayer material since the late 1930’s and remains the most commonly used film in laminated glass. Laminated glass is produced by sandwiching the PVB layer between pieces of glass and applying heat and pressure.  The PVB interlayer generally contains a plasticizer to decrease the PVB stiffness and a UV absorber to improve the UV protection of the film.  Some specialty films with increased strength or improved acoustic performance have been developed, but a standard type film was investigated here.  Various types of glass can be used for laminated glass.  An ultraclear, low iron glass is included here - the reduced iron content gives the glass a clearer (less green) appearance than standard glass. The glass may contain 0-20% post-industrial recycled glass from in-plant recycling."
CP179,Fiberglass Board Insulation,"Fiber glass board insulation liner is used to insulate the insides of metal heating and cooling ductwork or plenums. In addition to providing thermal insulation in areas where the carried air is cooler or warmer than the ambient air surrounding the ductwork, fiber glass board insulation liner also provides acoustical insulation, damping the noise of the HVAC system as well as cutting down on cross-talk. Fiberglass  board insulation is made up of a fiber base held together by a binder. This substrate is then covered with a mat of densely-packed continuous filiament glass fibers and an acrylic coating; together this is known as air stream surfacing. This air stream surfacing protects the surface of the fiber glass board exposed to airflow in the duct, protecting it from damage and moisture. Fiber glass board insulation is affixed to the metal ductwork or plenum using both an adhesive and mechanical fasteners which are outside of the scope of this CP."
CP180,PMMA Countertop,"Polymethyl methacrylate (PMMA) or acrylic solid surface countertops are countertops made from a manmade polymer. These countertops are cured in sheet form and can be cut or formed to a number of different shapes and layouts. Sheets can be joined with a polymer adhesive to achieve a ""seamless"" look. Because PMMA countertops are nonporous, they are stain-resistant and do not require sealing. PMMA countertops come in a rainbow of colors and effects; however, white countertops were the focus of this survey. The pigments used to make other colors may have different associated health hazards."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
